FAC_DET_REP,SITE_ADDRESS,Longitude,ID,EPA_REGISTRY_ID,SITE_CITY,SITE_ZIP,Latitude,CDR_SUB_CNT,Public_CDR_SUBMISSIONS_SITE_NAME,County-State
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110014060194,5215 KENNEDY AVE,-87.46143,1856.0,110014060194,EAST CHICAGO,463123805,41.620030001,3.0,GRACE DAVISON EAST CHICAGO,LAKE-IN
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110000386760,11709 MADISON AVENUE,-81.76891627,1857.0,110000386760,LAKEWOOD,44107-5230,41.476915904,4.0,GRAFTECH INTERNATIONAL HOLDINGS INC,Cuyahoga-OH
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110000814423,12900 SNOW ROAD,-81.77688,1858.0,110000814423,PARMA,44130-1077,41.405100001,1.0,GRAFTECH INTERNATIONAL HOLDINGS INC,Cuyahoga-OH
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110041625836,13746 RT 120,-78.25028,1862.0,110041625836,EMPORIUM,15834,41.508250001,1.0,GRAFTECH INTERNATIONAL HOLDINGS INC,Cameron-PA
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110035842675,791 SANTA FE PIKE,-87.0437,1860.0,110035842675,COLUMBIA,38401,35.642790001,5.0,GRAFTECH INTERNATIONAL HOLDINGS INC,Maury-TN
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110040880320,"ROUTE 58, PHILIPPI PIKE",-80.29139,1861.0,110040880320,ANMOORE,26323,39.255550001,3.0,GRAFTECH INTERNATIONAL HOLDINGS INC,Harrison-WV
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110007173986,US HIGHWAY 43 SOUTH,-87.36176,1859.0,110007173986,LAWRENCEBURG,38464,35.259080001,3.0,GRAFTECH INTERNATIONAL HOLDINGS INC,Lawrence-TN
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110000330482,800 THERESIA ST.,-78.54594,1863.0,110000330482,SAINT MARYS,15857,41.430600001,1.0,GRAFTECH USA LLC,Elk-PA
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110017404548,1600 OREGON STREET,-91.06329,1864.0,110017404548,MUSCATINE,52761-1475,41.399100001,8.0,GRAIN PROCESSING CORP,Muscatine-IA
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110041204265,2000 SOUTH MAYSVILLE ROAD,-87.18431,1865.0,110041204265,WASHINGTON,47501-7410,38.652380001,6.0,GRAIN PROCESSING CORP,Daviess-IN
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110038524745,22944 COUNTY ROAD 41,-102.283071896,1866.0,110038524745,HOLYOKE,80734,40.593091144,1.0,GRAINLAND COOPERATIVE - AGRONOMY STATION,Phillips-CO
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110000598489,3 MILES EAST OF CHOUTEAU ON HIGHWAY 412,-95.34308,1867.0,110000598489,CHOUTEAU,743370609,36.186420001,1.0,GRAND RIVER DAM AUTH/CHOUTEAU COAL FIRED COMPLEX,Mayes-OK
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110038162449,NORTHWEST OF INTERSECTION OF HWY 30 AND HWY I-80,-109.96818,1868.0,110038162449,GRANGER,82934,41.592060001,8.0,GRANGER GAS PLANT,Sweetwater-WY
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110020653808,15045 HIGHWAY 23 SE,-95.483470297,1869.0,110020653808,GRANITE FALLS,56241,44.818010293,2.0,GRANITE FALLS ENERGY LLC,Chippewa-MN
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110016735201,100 GRAPHIC PACKAGING INTRNTL  WAY,-83.63184,1870.0,110016735201,MACON,31206,32.773820001,10.0,GRAPHIC PACKAGING INTERNATIONAL,BIBB-GA
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110041015460,T148 R105 SEC 36,-103.66352,1871.0,110041015460,ALEXANDER,58831,47.887090001,4.0,GRASSLANDS GAS PLANT,McKenzie-ND
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110007771955,NORTH THOMAS STREET,-77.7859,1872.0,110007771955,BELLEFONTE,16823,40.914830001,1.0,GRAYMONT (PA) INC.,Centre-PA
http://iaspub.epa.gov/enviro/fii_query_dtl.disp_program_facility?p_registry_id=110006105543,21880 W ST RTE 163,-83.36739,1873.0,110006105543,GENOA,43430-1679,41.529950001,3.0,GRAYMONT DOLIME OH INC  *,Ottawa-OH
