CNTYNAME,PSTL_CODE,YEAR,DATE_COL,ELEVATION,UID,SITE_ID,UNIQUE_ID,LAT_DD83,LON_DD83
Saluda,SC,2019,8/28/2019,110.02,2014536,NRS18_SC_RF003,NRS_SC-10105,34.17106,-81.771542
Boyd,NE,2019,8/28/2019,375.48,2014537,NRS18_NE_11433,NRS_NE-10248,42.976304,-98.48784517
Bath,VA,2019,8/28/2019,374.66,2014538,NRS18_VA_RF015,NRS_VA-10158,37.95882,-79.6971
Texas,MO,2019,8/28/2019,261.59,2014539,NRS18_MO_RF004,NRS_MO-10172,37.050222,-91.67655
Sioux,ND,2019,8/27/2019,506.29,2014540,NRS18_ND_10043,NRS_ND-10443,46.39273883,-100.8437704
Parke,IN,2019,8/28/2019,181.145,2014541,NRS18_IN_10012,NRS_IN-10056,39.70521964,-87.07881596
Santa Rosa,FL,2019,8/28/2019,8.28,2014542,NRS18_FL_10334,NRS_FL-10211,30.70892116,-86.83567095
San Juan,UT,2019,8/28/2019,1357.11,2014543,NRS18_UT_10002,NRS_UT-10241,37.22371788,-109.2086919
Harnett,NC,2019,8/28/2019,73.73,2014544,NRS18_NC_10155,NRS_NC-10270,35.35452808,-79.05784611
New Castle,DE,2019,8/28/2019,39.99,2014545,NRS18_DE_10007,NRS_DE-10068,39.81091381,-75.56714584
Ionia,MI,2019,8/29/2019,220.935,2014546,NRS18_MI_10011,NRS_MI-10056,42.82315921,-84.93878071
Jefferson,WI,2019,8/29/2019,236.46,2014547,NRS18_WI_10071,NRS_WI-10074,42.89686706,-88.89542253
Holt,NE,2019,8/29/2019,256.79,2014548,NRS18_NE_10014,NRS_NE-10118,40.01724473,-95.33154776
Alleghany,VA,2019,8/29/2019,426.38,2014549,NRS18_VA_RF003,NRS_VA-10150,37.9393,-79.9527
Tippecanoe,IN,2019,8/29/2019,213.24,2014550,NRS18_IN_10650,NRS_IN-10110,40.27550001,-86.880289
Penobscot,ME,2019,8/29/2019,104.77,2014551,NRS18_ME_10007,NRS_ME-10288,45.89866594,-68.61411606
Carlisle,KY,2019,8/28/2019,89.51,2014552,NRS18_KY_10952,NRS_KY-10120,36.92827476,-89.06258213
Santa Rosa,FL,2019,8/29/2019,42.365,2014553,NRS18_FL_10021,NRS_FL-10107,30.96981875,-86.99358916
Blaine,MT,2019,8/29/2019,703.35,2014554,NRS18_MT_10071,NRS_MT-10512,47.79955099,-109.0182369
McCracken,KY,2019,8/29/2019,93.88,2014555,NRS18_KY_10030,NRS_KY-10108,36.98150298,-88.53262658
Grant,ND,2019,8/29/2019,570.75,2014556,NRS18_ND_10039,NRS_ND-10439,46.12644511,-101.3410806
Loudon,TN,2019,8/29/2019,250.0,2014557,NRS18_TN_10489,NRS_TN-10150,35.65534925,-84.15339585
