,Unnamed: 0_x,CNTYNAME,PSTL_CODE,YEAR,DATE,ELEVATION,UID,SITE,UNIQUE,LAT_DD83,LON_DD83,PUBLICATION,VISIT,EPA,STATE,COMID,PROTOCOL,PCTCLINOMETER,REALM,SURVEY_YRS,County-State,Unnamed: 0_y, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval.1,Upper 95% Confidence Interval.1,is_rising
1158,848.0,Pawnee,NE,2018.0,8/30/2018,364.33,2013405.0,NRS18_NE_10013,NRS_NE-10107,40.19518101,-96.22861468,3/24/2021,1,Region_07,NE,19157738.0,WADEABLE,0.0,WADEABLE,1819.0,pawnee-ne,2978.0,31133.0,* ,*, *,* , * , *,3 or fewer,*,*,*,*,0
1159,996.0,Pawnee,NE,2018.0,9/19/2018,364.33,2013554.0,NRS18_NE_10013,NRS_NE-10107,40.19518101,-96.22861468,3/24/2021,2,Region_07,NE,19157738.0,WADEABLE,0.0,WADEABLE,1819.0,pawnee-ne,2978.0,31133.0,* ,*, *,* , * , *,3 or fewer,*,*,*,*,0
1160,1449.0,Pawnee,NE,2019.0,7/11/2019,373.6,2014033.0,NRS18_NE_10071,NRS_NE-10151,40.02279607,-96.23836363,3/24/2021,1,Region_07,NE,19157986.0,WADEABLE,0.0,WADEABLE,1819.0,pawnee-ne,2978.0,31133.0,* ,*, *,* , * , *,3 or fewer,*,*,*,*,0
1161,849.0,Pickens,SC,2018.0,8/30/2018,500.46,2013406.0,NRS18_SC_RF001,NRS_SC-10103,35.04759,-82.8124,3/24/2021,1,Region_04,SC,11747949.0,WADEABLE,0.0,WADEABLE,1819.0,pickens-sc,658.0,45077.0,119.2,107.6,131.7,N/A ,1,25,80,stable,0.9,-0.3,2.2,0
1162,850.0,Nez Perce,ID,2018.0,8/30/2018,252.59,2013407.0,NRS18_ID_10080,NRS_ID-10284,46.07413004,-116.9562342,3/24/2021,1,Region_10,ID,24228259.0,BOATABLE,0.0,BOATABLE,1819.0,nez perce-id,2179.0,16069.0,92.7,75.7,112.1,N/A ,5,34,21,stable,0.2,-1.3,1.8,0
1163,851.0,Greene,PA,2018.0,8/30/2018,261.75,2013408.0,NRS18_PA_10039,NRS_PA-10120,39.92537688,-80.50520104,3/24/2021,1,Region_03,PA,19454003.0,WADEABLE,0.0,WADEABLE,1819.0,greene-pa,262.0,42059.0,131.6,111,155.1,N/A ,1,61,29,rising,2.6,0.9,4.4,1
1164,853.0,Pike,MO,2018.0,8/30/2018,147.49,2013410.0,NRS18_MO_10034,NRS_MO-10146,39.46322647,-91.13030742,3/24/2021,1,Region_07,MO,4868597.0,WADEABLE,0.0,WADEABLE,1819.0,pike-mo,632.0,29163.0,119.9,92.3,153,N/A ,1,99,13,stable,-0.5,-3,2.1,0
1165,856.0,Platte,WY,2018.0,8/31/2018,1314.49,2013413.0,NRS18_WY_12046,NRS_WY-10640,42.25656666,-104.7365833,3/24/2021,1,Region_08,WY,22095265.0,BOATABLE,0.0,BOATABLE,1819.0,platte-wy,1704.0,56031.0,101.7,62.8,155.3,N/A ,1,20,4,stable,-1.8,-6.8,3.5,0
1166,860.0,Platte,WY,2018.0,9/3/2018,1358.82,2013417.0,NRS18_WY_10065,NRS_WY-10486,42.36369199,-104.9080902,3/24/2021,1,Region_08,WY,22095185.0,BOATABLE,0.0,BOATABLE,1819.0,platte-wy,1704.0,56031.0,101.7,62.8,155.3,N/A ,1,20,4,stable,-1.8,-6.8,3.5,0
1167,1200.0,Platte,WY,2019.0,6/11/2019,1415.99,2013760.0,NRS18_WY_11452,NRS_WY-10569,42.06610658,-105.1126825,3/24/2021,1,Region_08,WY,17483099.0,WADEABLE,0.0,WADEABLE,1819.0,platte-wy,1704.0,56031.0,101.7,62.8,155.3,N/A ,1,20,4,stable,-1.8,-6.8,3.5,0
