,fips,recent_trend_cat,predictions
996,21021,rising,1
1000,21029,rising,2
1001,21031,stable,2
1003,21035,stable,2
1004,21037,stable,2
1006,21041,stable,2
1007,21043,rising,1
1008,21045,stable,2
1009,21047,stable,2
1015,21059,rising,1
1016,21061,stable,2
1019,21067,stable,2
1020,21069,stable,2
1024,21077,stable,2
1025,21079,stable,2
1026,21081,stable,2
1027,21083,stable,2
1028,21085,stable,2
1030,21089,stable,2
1031,21091,stable,2
1032,21093,rising,1
1034,21097,stable,2
1036,21101,stable,2
1037,21103,stable,2
1040,21109,stable,2
1041,21111,rising,1
1042,21113,stable,2
1044,21117,rising,1
1049,21127,stable,2
1053,21135,rising,1
1056,21141,stable,2
1057,21143,stable,2
1058,21145,stable,2
1060,21149,stable,2
1061,21151,stable,2
1064,21157,stable,2
1066,21161,stable,2
1067,21163,falling,2
1069,21167,stable,2
1072,21173,stable,2
1074,21177,stable,2
1076,21181,stable,2
1078,21185,stable,2
1081,21191,stable,2
1085,21199,stable,2
1087,21203,rising,1
1089,21207,stable,2
1090,21209,stable,2
1091,21211,stable,2
1092,21213,stable,2
1095,21219,stable,2
1097,21223,stable,2
1099,21227,stable,2
1100,21229,rising,2
1101,21231,stable,2
1102,21233,stable,2
1105,21239,stable,2
1106,22001,stable,2
1108,22005,rising,1
1109,22007,stable,2
1110,22009,stable,2
1111,22011,stable,2
1112,22013,stable,2
1113,22015,rising,1
1114,22017,rising,1
1115,22019,stable,1
1119,22027,stable,2
1121,22031,stable,2
1122,22033,rising,1
1124,22037,stable,2
1125,22039,stable,2
1126,22041,stable,2
1127,22043,stable,2
1128,22045,stable,2
1129,22047,stable,2
1131,22051,rising,1
1133,22055,stable,2
1137,22063,stable,2
1138,22065,stable,1
1139,22067,stable,2
1140,22069,stable,2
1142,22073,stable,2
1143,22075,stable,2
1144,22077,falling,2
1145,22079,stable,2
1146,22081,stable,2
1147,22083,rising,2
1149,22087,stable,2
1150,22089,stable,2
1152,22093,rising,1
1153,22095,stable,2
1154,22097,rising,1
1155,22099,stable,2
1156,22101,stable,2
1157,22103,rising,1
1161,22111,stable,2
1162,22113,stable,2
1163,22115,rising,1
1164,22117,stable,2
1165,22119,stable,2
1166,22121,stable,2
1168,22125,stable,2
1169,22127,stable,2
1170,23001,stable,2
1172,23005,stable,2
